#;ImgPath;EAR;ImgPathResult
25;C:/IoTTestEAR/OpenEyes/_31.jpg;0,334814684;C:/IoTTestEAR/results_open/image25.jpg
81;C:/IoTTestEAR/OpenEyes/_81.jpg;0,334946453;C:/IoTTestEAR/results_open/image81.jpg
86;C:/IoTTestEAR/OpenEyes/_86.jpg;0,335046015;C:/IoTTestEAR/results_open/image86.jpg
49;C:/IoTTestEAR/OpenEyes/_52.jpg;0,335084239;C:/IoTTestEAR/results_open/image49.jpg
67;C:/IoTTestEAR/OpenEyes/_69.jpg;0,335091211;C:/IoTTestEAR/results_open/image67.jpg
63;C:/IoTTestEAR/OpenEyes/_65.jpg;0,335621836;C:/IoTTestEAR/results_open/image63.jpg
62;C:/IoTTestEAR/OpenEyes/_64.jpg;0,336310022;C:/IoTTestEAR/results_open/image62.jpg
10;C:/IoTTestEAR/OpenEyes/_18.png;0,336542538;C:/IoTTestEAR/results_open/image10.jpg
85;C:/IoTTestEAR/OpenEyes/_85.jpg;0,337861142;C:/IoTTestEAR/results_open/image85.jpg
83;C:/IoTTestEAR/OpenEyes/_83.jpg;0,338161641;C:/IoTTestEAR/results_open/image83.jpg
44;C:/IoTTestEAR/OpenEyes/_48.jpg;0,33948857;C:/IoTTestEAR/results_open/image44.jpg
57;C:/IoTTestEAR/OpenEyes/_6.jpeg;0,340521166;C:/IoTTestEAR/results_open/image57.jpg
22;C:/IoTTestEAR/OpenEyes/_29.jpg;0,340544961;C:/IoTTestEAR/results_open/image22.jpg
94;C:/IoTTestEAR/OpenEyes/_93.jpg;0,3412297;C:/IoTTestEAR/results_open/image94.jpg
61;C:/IoTTestEAR/OpenEyes/_63.jpg;0,342614925;C:/IoTTestEAR/results_open/image61.jpg
21;C:/IoTTestEAR/OpenEyes/_28.jpg;0,343901576;C:/IoTTestEAR/results_open/image21.jpg
73;C:/IoTTestEAR/OpenEyes/_74.jpg;0,347374156;C:/IoTTestEAR/results_open/image73.jpg
41;C:/IoTTestEAR/OpenEyes/_45.jpg;0,350059769;C:/IoTTestEAR/results_open/image41.jpg
31;C:/IoTTestEAR/OpenEyes/_36.jpg;0,353189072;C:/IoTTestEAR/results_open/image31.jpg
56;C:/IoTTestEAR/OpenEyes/_59.jpg;0,354788046;C:/IoTTestEAR/results_open/image56.jpg
54;C:/IoTTestEAR/OpenEyes/_57.jpg;0,358560266;C:/IoTTestEAR/results_open/image54.jpg
70;C:/IoTTestEAR/OpenEyes/_71.jpg;0,359527414;C:/IoTTestEAR/results_open/image70.jpg
84;C:/IoTTestEAR/OpenEyes/_84.jpg;0,360313808;C:/IoTTestEAR/results_open/image84.jpg
14;C:/IoTTestEAR/OpenEyes/_21.png;0,365097049;C:/IoTTestEAR/results_open/image14.jpg
33;C:/IoTTestEAR/OpenEyes/_38.png;0,365097049;C:/IoTTestEAR/results_open/image33.jpg
36;C:/IoTTestEAR/OpenEyes/_40.png;0,36637458;C:/IoTTestEAR/results_open/image36.jpg
18;C:/IoTTestEAR/OpenEyes/_25.png;0,367380759;C:/IoTTestEAR/results_open/image18.jpg
24;C:/IoTTestEAR/OpenEyes/_30.png;0,369102838;C:/IoTTestEAR/results_open/image24.jpg
78;C:/IoTTestEAR/OpenEyes/_79.jpg;0,371311058;C:/IoTTestEAR/results_open/image78.jpg
19;C:/IoTTestEAR/OpenEyes/_26.png;0,385680251;C:/IoTTestEAR/results_open/image19.jpg
34;C:/IoTTestEAR/OpenEyes/_39.png;0,385680251;C:/IoTTestEAR/results_open/image34.jpg
2;C:/IoTTestEAR/OpenEyes/_10.jpg;0,387955884;C:/IoTTestEAR/results_open/image2.jpg
30;C:/IoTTestEAR/OpenEyes/_35.png;0,388401994;C:/IoTTestEAR/results_open/image30.jpg
76;C:/IoTTestEAR/OpenEyes/_77.jpg;0,396041327;C:/IoTTestEAR/results_open/image76.jpg
60;C:/IoTTestEAR/OpenEyes/_62.jpg;0,412439423;C:/IoTTestEAR/results_open/image60.jpg
27;C:/IoTTestEAR/OpenEyes/_33.jpg;0,4129236;C:/IoTTestEAR/results_open/image27.jpg
28;C:/IoTTestEAR/OpenEyes/_33.png;0,452211819;C:/IoTTestEAR/results_open/image28.jpg
0;C:/IoTTestEAR/OpenEyes/_0.jpg;0,456321687;C:/IoTTestEAR/results_open/image0.jpg
13;C:/IoTTestEAR/OpenEyes/_20.png;0,499327923;C:/IoTTestEAR/results_open/image13.jpg
32;C:/IoTTestEAR/OpenEyes/_37.png;0,499327923;C:/IoTTestEAR/results_open/image32.jpg
1;C:/IoTTestEAR/OpenEyes/_1.jpg;0,534265933;C:/IoTTestEAR/results_open/image1.jpg
